date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-03,Los Angeles Clippers (+285) @ Golden State Warriors (-405),Gui Santos,C1,6.5,2.84,-3.66,56.3,UNDER,STRONG UNDER,14.8,0.8,HIGH,NORMAL,6|2|3|0|9|1|0,94,0.206,0.05,200,102,102,-405,285,0.402,0.598,1,0.5,2.83,2.83,2.9,2.69,3
2026-03-03,San Antonio Spurs (-325) @ Philadelphia 76ers (+260),Dominick Barlow,C1,4.5,2.82,-1.68,37.3,UNDER,STRONG UNDER,10.3,0.8,HIGH,NORMAL,8|1|3|0|2|1|5,94,0.305,0.18,-118,-106,-106,260,-325,0.513,0.487,1,0.5,2.88,2.88,2.46,2.13,3
2026-03-03,Los Angeles Clippers (+285) @ Golden State Warriors (-405),De'Anthony Melton,C2,4.5,3.56,-0.94,20.9,UNDER,UNDER,7.5,0.8,HIGH,NORMAL,1|2|1|1|2|10|4,90,0.754,0.19,110,110,110,-405,285,0.5,0.5,0.894,0.3988,3.65,3.65,3.07,3.38,3
2026-03-03,New York Knicks (-135) @ Toronto Raptors (+115),Jakob Poeltl,C3,7.5,9,1.5,20,OVER,OVER,9.4,0.8,HIGH,NORMAL,5|8|8|11|12|5|11,89,0.539,0.09,112,-140,112,115,-135,0.447,0.553,0.997,0.4972,9.1,9.1,8.44,8.08,3
2026-03-03,Los Angeles Clippers (+285) @ Golden State Warriors (-405),Pat Spencer,C1,3.5,1.07,-2.43,69.4,UNDER,STRONG UNDER,12.1,0.8,HIGH,NORMAL,0|0|0|0|0|2|0,88,0.425,0,155,-210,-210,-405,285,0.367,0.633,1,0.5,1.14,1.14,0.71,1.78,1
2026-03-03,Oklahoma City Thunder (-500) @ Chicago Bulls (+375),Tre Jones,C2,2.5,3.36,0.86,34.4,OVER,OVER,7.4,0.8,HIGH,NORMAL,5|3|6|2|4|6|4,88,0.669,0.14,-174,130,-174,375,-500,0.594,0.406,0.901,0.3644,3.29,3.29,3.79,3.95,1
2026-03-03,Denver Nuggets (-1425) @ Utah Jazz (+715),Bruce Brown,C2,3.5,4.33,0.83,23.7,OVER,OVER,7.1,0.8,HIGH,NORMAL,1|7|12|5|6|4|3,88,0.626,0.18,140,-188,140,715,-1425,0.39,0.61,0.908,0.4211,4.16,4.16,5.28,4.82,1
2026-03-03,Detroit Pistons (-118) @ Cleveland Cavaliers (-102),Evan Mobley,C3,7.5,9.27,1.77,23.6,OVER,STRONG OVER,10.6,0.8,HIGH,NORMAL,6|7|4|12|9|12|10,88,0.587,0.18,106,-140,106,-102,-118,0.454,0.546,0.999,0.499,9.31,9.31,9.07,8.63,1
2026-03-03,New York Knicks (-135) @ Toronto Raptors (+115),Josh Hart,C3,7.5,8.84,1.34,17.9,OVER,OVER,8.9,0.8,HIGH,NORMAL,8|4|5|9|10|11|11,86,0.787,0.26,106,-130,106,115,-135,0.462,0.538,0.956,0.4572,8.92,8.92,8.4,8.27,3
2026-03-03,Los Angeles Clippers (+285) @ Golden State Warriors (-405),Draymond Green,C3,2.5,6.48,3.98,159.2,OVER,STRONG OVER,16.7,0.8,HIGH,NORMAL,11|3|3|2|9|7|3,84,0.588,0.34,165,118,165,-405,285,0.451,0.549,1,0.5,6.63,6.63,5.65,6.97,3
