date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books,target,actual,result,profit_units
2026-03-03,Washington Wizards (+750) @ Orlando Magic (-1200),Jalen Suggs,C4,1.5,2.25,0.75,50,OVER,OVER,6.7,0.8,HIGH,NORMAL,1|2|4|0|3|2|2,97,0.154,0.08,165,148,165,-1200,750,0.483,0.517,0.994,0.4952,2.08,2.08,2.11,2.51,4,fg3m,NA,NA,NA
2026-03-03,Dallas Mavericks (+476) @ Charlotte Hornets (-650),Max Christie,C2,2.5,1.29,-1.21,48.4,UNDER,UNDER,8.2,0.8,HIGH,NORMAL,2|2|1|1|1|3|0,97,0.188,0.25,116,-141,-141,-650,476,0.442,0.558,1,0.5,1.09,1.09,1.34,1.6,4,fg3m,NA,NA,NA
2026-03-03,Detroit Pistons (-142) @ Cleveland Cavaliers (+120),Cade Cunningham,C4,1.5,2.11,0.61,40.7,OVER,OVER,6.2,0.8,HIGH,NORMAL,1|3|2|2|1|2|3,97,0.173,0.01,165,140,165,120,-142,0.475,0.525,0.979,0.4831,2.02,2.02,1.81,2.23,4,fg3m,NA,NA,NA
2026-03-03,Phoenix Suns (-405) @ Sacramento Kings (+310),Russell Westbrook,C3,1.5,0.89,-0.61,40.7,UNDER,UNDER,6,0.8,HIGH,NORMAL,0|3|1|1|0|1|0,97,0.26,0.2,210,112,112,310,-405,0.406,0.594,0.979,0.4801,0.96,0.96,1.07,0.78,4,fg3m,NA,NA,NA
2026-03-03,New Orleans Pelicans (+274) @ Los Angeles Lakers (-340),Saddiq Bey,C2,2.5,1.64,-0.86,34.4,UNDER,UNDER,6.9,0.8,HIGH,NORMAL,2|0|2|1|3|0|3,97,0.253,0.01,140,-165,-165,-340,274,0.401,0.599,0.998,0.4974,1.77,1.77,1.52,1.44,4,fg3m,NA,NA,NA
2026-03-03,San Antonio Spurs (-305) @ Philadelphia 76ers (+245),De'Aaron Fox,C4,1.5,2.33,0.83,55.3,OVER,OVER,7.1,0.8,HIGH,NORMAL,1|2|1|0|4|1|2,87,0.364,0.41,110,-139,110,245,-305,0.45,0.55,0.989,0.4895,2.44,2.44,1.79,2.16,4,fg3m,NA,NA,NA
2026-03-03,Washington Wizards (+750) @ Orlando Magic (-1200),Anthony Black,C2,1.5,0.88,-0.62,41.3,UNDER,UNDER,6,0.8,HIGH,NORMAL,0|0|0|1|2|0|3,87,0.357,0.37,117,-144,-144,-1200,750,0.438,0.562,0.959,0.45,0.66,0.66,0.73,1.21,4,fg3m,NA,NA,NA
2026-03-03,Detroit Pistons (-142) @ Cleveland Cavaliers (+120),Jaylon Tyson,C1,1.5,0.37,-1.13,75.3,UNDER,UNDER,7.9,0.8,MED,NORMAL,0|0|0|1|0|1|4,77,0.479,0,190,124,124,120,-142,0.436,0.564,0.991,0.4919,0.35,0.35,0.32,0.41,4,fg3m,NA,NA,NA
2026-03-03,Phoenix Suns (-405) @ Sacramento Kings (+310),Collin Gillespie,C1,3.5,0.96,-2.54,72.6,UNDER,UNDER,12.3,0.8,MED,NORMAL,4|2|0|2|3|3|3,77,0.756,0.18,124,-159,-159,310,-405,0.421,0.579,1,0.5,0.91,0.91,1.68,1.03,4,fg3m,NA,NA,NA
2026-03-03,San Antonio Spurs (-305) @ Philadelphia 76ers (+245),Victor Wembanyama,C4,1.5,2.34,0.84,56,OVER,OVER,7.1,0.8,MED,NORMAL,5|2|2|1|1|5|1,77,0.425,0.14,210,120,210,245,-305,0.415,0.585,0.976,0.4823,2.32,2.32,2.41,2.36,4,fg3m,NA,NA,NA
