date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books,target,actual,result,profit_units
2026-04-24,New York Knicks (-130) @ Atlanta Hawks (+108),Jalen Johnson,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.373,0.25,210,108,108,107.5,-129.5,0.402,0.598,1,0.5,0,0,0,0.24,6,fg3m,NA,NA,NA
2026-04-24,New York Knicks (-130) @ Atlanta Hawks (+108),Jonathan Kuminga,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.379,0.15,163,-185,-185,107.5,-129.5,0.369,0.631,1,0.5,0,0,0,0.24,5,fg3m,NA,NA,NA
2026-04-24,Los Angeles Lakers (+263) @ Houston Rockets (-325),Luke Kennard,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.391,0.26,155,145,145,-325,263,0.49,0.51,1,0.5,0,0,0,0.27,6,fg3m,NA,NA,NA
2026-04-24,San Antonio Spurs (-140) @ Portland Trail Blazers (+120),Stephon Castle,C1,1.5,0.11,-1.39,92.7,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,100,0.354,0.08,132,-167,-167,120,-140,0.408,0.592,1,0.5,0,0,0,0.26,6,fg3m,NA,NA,NA
2026-04-24,New York Knicks (-130) @ Atlanta Hawks (+108),Josh Hart,C1,1.5,0.14,-1.36,90.7,UNDER,UNDER,8.8,0.8,HIGH,NORMAL,,100,0.358,0.07,178,-225,-225,107.5,-129.5,0.342,0.658,1,0.5,0,0,0,0.36,6,fg3m,NA,NA,NA
2026-04-24,Detroit Pistons (-143) @ Orlando Magic (+120),Anthony Black,C1,1,0.11,-0.89,89,UNDER,UNDER,7,0.8,HIGH,NORMAL,,91,0.341,0.02,188,140,140,120,-143,0.455,0.545,0.995,0.4957,0,0,0,0.27,2,fg3m,NA,NA,NA
2026-04-24,Detroit Pistons (-143) @ Orlando Magic (+120),Tobias Harris,C1,1.5,0.08,-1.42,94.7,UNDER,UNDER,9,0.8,HIGH,NORMAL,,90,0.398,0.45,155,-170,-170,120,-143,0.384,0.616,1,0.5,0,0,0,0.21,6,fg3m,NA,NA,NA
2026-04-24,Denver Nuggets (-124) @ Minnesota Timberwolves (+105),Nikola Jokic,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.098,0.36,190,146,146,105,-124.5,0.459,0.541,1,0.5,0,0,0,0.26,6,fg3m,NA,NA,NA
2026-04-24,New York Knicks (-130) @ Atlanta Hawks (+108),Onyeka Okongwu,C1,1.5,0.1,-1.4,93.3,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,90,0.385,0.5,-125,105,105,107.5,-129.5,0.532,0.468,1,0.5,0,0,0,0.24,6,fg3m,NA,NA,NA
2026-04-24,Oklahoma City Thunder (-435) @ Phoenix Suns (+333),Ajay Mitchell,C1,1.5,0.12,-1.38,92,UNDER,UNDER,8.9,0.8,HIGH,NORMAL,,87,0.261,0.42,182,-234,-234,333,-435,0.336,0.664,1,0.5,0,0,0,0.3,4,fg3m,NA,NA,NA
